Coding Scheme 1 = Absolute
Coding Scheme 2 = Vowel-centric (L-R)
Coding Scheme 3 = Vowel-centric (R-L)
Coding Scheme 4 = Ends-first
Coding Scheme 5 = SOLAR (Spatial Coding)
Coding Scheme 6 = Binary Open Bigram
Coding Scheme 7 = Overlap Open Bigram (OOB)
Coding Scheme 8 = SERIOL_2001 (Open Bigram)


ILW = 1
sigma = 2
c = 1.00
Stim1   	Stim2   	Match1	Match2	Match3	Match4	Match5	Match6	Match7	Match8	
apartamento	apartment	 0.45	 0.64	 0.64	 0.36	 0.68	 0.72	 0.65	 0.79	
animal  	animal  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
movimiento	movement	 0.40	 0.60	 0.60	 0.30	 0.54	 0.48	 0.48	 0.75	
metabolismo	metabolism	 0.91	 0.91	 0.91	 0.36	 0.85	 0.89	 0.90	 0.95	
equipo  	equipment	 0.83	 0.83	 0.50	 0.50	 0.75	 0.75	 0.79	 0.71	
departamento	department	 0.50	 0.67	 0.67	 0.33	 0.71	 0.73	 0.74	 0.80	
cocodrilo	crocodile	 0.33	 0.67	 0.44	 0.33	 0.65	 0.67	 0.48	 0.83	
calendario	calendar	 0.80	 0.80	 0.80	 0.40	 0.75	 0.75	 0.77	 0.70	
auditorio	auditorium	 0.89	 0.89	 0.56	 0.44	 0.82	 0.90	 0.91	 0.92	
acceso  	access  	 0.83	 0.83	 0.67	 0.83	 0.75	 0.67	 0.61	 0.73	
academico	academic	 0.89	 0.89	 0.89	 0.44	 0.82	 0.85	 0.79	 0.80	
lenguaje	language	 0.75	 0.75	 0.75	 0.75	 0.80	 0.56	 0.50	 0.69	
electricidad	electricity	 0.75	 0.58	 0.58	 0.33	 0.71	 0.72	 0.60	 0.68	
efecto  	effects 	 0.33	 0.50	 0.83	 0.67	 0.72	 0.73	 0.61	 0.72	
disertacion	dissertation	 0.27	 0.55	 0.55	 0.64	 0.88	 0.70	 0.79	 0.87	
diccionario	dictionary	 0.73	 0.73	 0.73	 0.27	 0.69	 0.68	 0.63	 0.84	
competicion	competition	 0.91	 0.91	 0.91	 0.82	 0.92	 0.79	 0.83	 0.89	
memoria 	memory  	 0.71	 0.71	 0.71	 0.43	 0.67	 0.57	 0.54	 0.60	
linea   	line    	 0.80	 0.80	 0.80	 0.40	 0.71	 0.67	 0.73	 0.66	
local   	local   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
historia	history 	 0.75	 0.75	 0.75	 0.50	 0.70	 0.67	 0.70	 0.71	
millon  	million 	 0.67	 0.83	 0.83	 0.83	 0.93	 1.00	 0.77	 0.96	
idea    	idea    	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
material	material	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
hora    	hour    	 0.50	 0.50	 0.50	 0.50	 0.62	 0.50	 0.45	 0.62	
hotel   	hotel   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
manera  	manner  	 0.50	 0.67	 0.83	 0.50	 0.68	 0.58	 0.74	 0.96	
hospital	hospital	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
gas     	gas     	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
independencia	independence	 0.85	 0.69	 0.69	 0.38	 0.80	 0.77	 0.66	 0.70	
metal   	metal   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
